Tag Name,Description,Area,Loop Type,Unit,Range Low,Range High,Typical SP,Alarm HH,Alarm H,Alarm L,Alarm LL,Control Mode,Controller Output,SP Source,Cascade Master,Fail Position,Interlocks,Summary,On Hold,Page
1520-H-1409,FIN FAN COOLING WATER PUMP,Drying/Absorbing,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-1409,Operator,None,-,I-110,-,-,400
1520-H-1419,FIN FAN COOLING WATER PUMP,Drying/Absorbing,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-1419,Operator,None,-,I-110,-,-,401
1560-H-3405,TREATED WATER EXPORT PUMP,Water Treatment,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-3405,Operator,None,-,"I-112, I-201",-,-,402
1560-H-3408,TREATED WATER EXPORT PUMP STANDBY,Water Treatment,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-3408,Operator,None,-,"I-112, I-201",-,-,403
1560-H-3602A,WATER TREATMENT AREA SUMP PUMP,Water Treatment,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-3602A,Operator,None,-,"I-116, I-117, I-118",-,-,404
1560-H-3602B,WATER TREATMENT AREA SUMP PUMP STANDBY,Water Treatment,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-3602B,Operator,None,-,"I-116, I-117, I-118",-,-,405
1560-H-3809A,TREATED WATER PUMP,Water Treatment,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-3809A,Operator,None,-,I-112,-,-,406
1560-H-3809B,TREATED WATER PUMP STANDBY,Water Treatment,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-3809B,Operator,None,-,I-112,-,-,407
1520-H-4706,SA1 EFFLUENT FEED PUMP,Drying/Absorbing,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-4706,Operator,None,-,I-167,-,-,408
1520-H-4707,SA1 EFFLUENT FEED PUMP STANDBY,Drying/Absorbing,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-4707,Operator,None,-,I-167,-,-,409
1520-H-4702,TRANSLOADING EFFLUENT UNLOADING PUMP,Drying/Absorbing,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-4702,Operator,None,-,"I-169, I-171",-,-,410
1520-H-4704,SA1 EFFLUENT STORAGE TANK AGITATOR,Drying/Absorbing,Motor Control,-,0,1,-,-,-,-,-,Auto/Man,HS-4704,Operator,None,-,I-168,-,-,411
1560-H-7407,ACC FAN MOTOR,Water Treatment,Motor Control,-,0,1,-,-,-,-,-,Auto/Man,HS-7407,Operator,None,-,N/A,-,-,412
1560-H-7408,ACC FAN MOTOR,Water Treatment,Motor Control,-,0,1,-,-,-,-,-,Auto/Man,HS-7408,Operator,None,-,N/A,-,-,413
1560-H-7409,ACC FAN MOTOR,Water Treatment,Motor Control,-,0,1,-,-,-,-,-,Auto/Man,HS-7409,Operator,None,-,N/A,-,-,414
1510-H-9512,CAUSTIC UNLOADING PUMP,Sulfur Handling,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-9512,Operator,None,-,I-160,-,-,415
1510-H-9520,CAUSTIC FEED PUMP,Sulfur Handling,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-9520,Operator,None,-,"I-161, I-162",-,-,416
1510-H-9524,CAUSTIC FEED PUMP STANDBY,Sulfur Handling,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-9524,Operator,None,-,"I-161, I-162",-,-,417
1570-H-8850A,98.5 ACID RECIRCULATION PUMP,Acid Storage,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-8850A,Operator,None,-,I-150,-,-,418
1570-H-8850B,98.5 ACID RECIRCULATION PUMP STANDBY,Acid Storage,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-8850B,Operator,None,-,I-150,-,-,419
1570-H-8620A,ACID OUTLANDING PUMP,Acid Storage,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-8620A,Operator,None,-,"I-151, I-152",-,-,420
1570-H-8620B,ACID OUTLANDING PUMP STANDBY,Acid Storage,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-8620B,Operator,None,-,"I-151, I-152",-,-,421
1570-H-8619A,PRODUCT ACID TRANSFER PUMP,Acid Storage,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-8619A,Operator,None,-,I-156,-,-,422
1570-H-8619B,PRODUCT ACID TRANSFER PUMP STANDBY,Acid Storage,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-8619B,Operator,None,-,I-156,-,-,423
1560-H-7516,ACC CONDENSATE TRANSFER PUMP,Water Treatment,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-7516,Operator,None,-,I-126,-,-,424
1560-H-7517,ACC CONDENSATE TRANSFER PUMP STANDBY,Water Treatment,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-7517,Operator,None,-,I-126,-,-,425
1560-H-7518,BYPASS CONDENSATE PUMP TO OFFSPEC CONDENSATE STANDBY,Water Treatment,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-7518,Operator,None,-,"I-115, I-126",-,-,426
1560-H-7519,BYPASS CONDENSATE PUMP TO OFFSPEC CONDENSATE,Water Treatment,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-7519,Operator,None,-,"I-115, I-126",-,-,427
